GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test,com.example.test.common,Constants.ExceptionClass,39,0,0,0,9,0,4,0,4,0
Test,com.example.test.common,Constants,3,0,0,0,1,0,1,0,1,0
Test,com.example.test.data.dto,ProductDto,147,50,26,0,7,8,18,11,5,11
Test,com.example.test.data.dto,ProductDto.ProductDtoBuilder,10,35,0,0,0,1,1,6,1,6
Test,com.example.test.data.dao.impl,ProductDAOImpl,15,6,0,0,4,3,2,1,2,1
Test,com.example.test,TestApplication,5,3,0,0,2,1,1,1,1,1
Test,com.example.test.controller,ProductController,18,121,2,2,4,27,4,3,2,3
Test,com.example.test.controller,PutController,35,3,0,0,9,1,6,1,6,1
Test,com.example.test.controller,HelloController,27,7,0,0,8,2,3,1,3,1
Test,com.example.test.controller,RestTemplateController,0,6,0,0,0,3,0,1,0,1
Test,com.example.test.controller,PostController,27,3,0,0,7,1,4,1,4,1
Test,com.example.test.controller,GetController,39,3,0,0,11,1,8,1,8,1
Test,com.example.test.data.handler.impl,ProductDataHandlerImpl,20,6,0,0,3,1,2,1,2,1
Test,com.example.test.dto,MemberDTO,32,0,0,0,6,0,8,0,8,0
Test,com.example.test.config,SwaggerConfiguration,0,29,0,0,0,12,0,3,0,3
Test,com.example.test.common.exception,TestException,27,0,0,0,8,0,5,0,5,0
Test,com.example.test.common.exception,TestHandlerException,72,7,0,0,14,2,2,1,2,1
Test,com.example.test.service.impl,ProductServiceImpl,0,51,0,0,0,11,0,3,0,3
Test,com.example.test.service.impl,RestTemplateServiceImpl,241,7,0,0,72,2,5,1,5,1
Test,com.example.test.data.entity,BaseEntity,3,0,0,0,1,0,1,0,1,0
Test,com.example.test.data.entity,ProductEntity,40,27,0,0,9,5,7,5,7,5
Test,com.example.test.data.entity,ProductEntity.ProductEntityBuilder,45,0,0,0,1,0,7,0,7,0
